district,sector,trade,priority,recommendation_type,recommendation,reason,supporting_metrics,confidence_score,data_availability
ahmednagar,,sewing technology under dual training system,Insufficient Data,Data Ingestion Required,Collect further supply and demand data for sewing technology under dual training system in ahmednagar before allocating government training resources.,Confidence rating (0.4) is below the required operational threshold (0.5).,"{'supply_score': 0.17, 'current_demand_score': 50.0, 'current_gap': 49.83, 'priority_score': 49.9, 'future_demand_score': None, 'future_gap': None, 'growth_trend': None}",0.4,"{'has_supply': True, 'has_current_demand': False, 'has_future_demand': False}"
ahmednagar,,sheet metal worker under dual system training,Insufficient Data,Data Ingestion Required,Collect further supply and demand data for sheet metal worker under dual system training in ahmednagar before allocating government training resources.,Confidence rating (0.4) is below the required operational threshold (0.5).,"{'supply_score': 0.17, 'current_demand_score': 50.0, 'current_gap': 49.83, 'priority_score': 49.9, 'future_demand_score': None, 'future_gap': None, 'growth_trend': None}",0.4,"{'has_supply': True, 'has_current_demand': False, 'has_future_demand': False}"
akola,,draughtsman mechanical,Insufficient Data,Data Ingestion Required,Collect further supply and demand data for draughtsman mechanical in akola before allocating government training resources.,Confidence rating (0.4) is below the required operational threshold (0.5).,"{'supply_score': 0.17, 'current_demand_score': 50.0, 'current_gap': 49.83, 'priority_score': 49.9, 'future_demand_score': None, 'future_gap': None, 'growth_trend': None}",0.4,"{'has_supply': True, 'has_current_demand': False, 'has_future_demand': False}"
akola,,painter general,Insufficient Data,Data Ingestion Required,Collect further supply and demand data for painter general in akola before allocating government training resources.,Confidence rating (0.4) is below the required operational threshold (0.5).,"{'supply_score': 0.17, 'current_demand_score': 50.0, 'current_gap': 49.83, 'priority_score': 49.9, 'future_demand_score': None, 'future_gap': None, 'growth_trend': None}",0.4,"{'has_supply': True, 'has_current_demand': False, 'has_future_demand': False}"
amravati,,machinist grinder,Insufficient Data,Data Ingestion Required,Collect further supply and demand data for machinist grinder in amravati before allocating government training resources.,Confidence rating (0.4) is below the required operational threshold (0.5).,"{'supply_score': 0.17, 'current_demand_score': 50.0, 'current_gap': 49.83, 'priority_score': 49.9, 'future_demand_score': None, 'future_gap': None, 'growth_trend': None}",0.4,"{'has_supply': True, 'has_current_demand': False, 'has_future_demand': False}"
beed,,draughtsman mechanical,Insufficient Data,Data Ingestion Required,Collect further supply and demand data for draughtsman mechanical in beed before allocating government training resources.,Confidence rating (0.4) is below the required operational threshold (0.5).,"{'supply_score': 0.17, 'current_demand_score': 50.0, 'current_gap': 49.83, 'priority_score': 49.9, 'future_demand_score': None, 'future_gap': None, 'growth_trend': None}",0.4,"{'has_supply': True, 'has_current_demand': False, 'has_future_demand': False}"
beed,,electrician under dual system training,Insufficient Data,Data Ingestion Required,Collect further supply and demand data for electrician under dual system training in beed before allocating government training resources.,Confidence rating (0.4) is below the required operational threshold (0.5).,"{'supply_score': 0.17, 'current_demand_score': 50.0, 'current_gap': 49.83, 'priority_score': 49.9, 'future_demand_score': None, 'future_gap': None, 'growth_trend': None}",0.4,"{'has_supply': True, 'has_current_demand': False, 'has_future_demand': False}"
beed,,machinist,Insufficient Data,Data Ingestion Required,Collect further supply and demand data for machinist in beed before allocating government training resources.,Confidence rating (0.4) is below the required operational threshold (0.5).,"{'supply_score': 0.17, 'current_demand_score': 50.0, 'current_gap': 49.83, 'priority_score': 49.9, 'future_demand_score': None, 'future_gap': None, 'growth_trend': None}",0.4,"{'has_supply': True, 'has_current_demand': False, 'has_future_demand': False}"
beed,,machinist under dual training system,Insufficient Data,Data Ingestion Required,Collect further supply and demand data for machinist under dual training system in beed before allocating government training resources.,Confidence rating (0.4) is below the required operational threshold (0.5).,"{'supply_score': 0.17, 'current_demand_score': 50.0, 'current_gap': 49.83, 'priority_score': 49.9, 'future_demand_score': None, 'future_gap': None, 'growth_trend': None}",0.4,"{'has_supply': True, 'has_current_demand': False, 'has_future_demand': False}"
beed,,painter general,Insufficient Data,Data Ingestion Required,Collect further supply and demand data for painter general in beed before allocating government training resources.,Confidence rating (0.4) is below the required operational threshold (0.5).,"{'supply_score': 0.17, 'current_demand_score': 50.0, 'current_gap': 49.83, 'priority_score': 49.9, 'future_demand_score': None, 'future_gap': None, 'growth_trend': None}",0.4,"{'has_supply': True, 'has_current_demand': False, 'has_future_demand': False}"
beed,,sheet metal worker under dual system training,Insufficient Data,Data Ingestion Required,Collect further supply and demand data for sheet metal worker under dual system training in beed before allocating government training resources.,Confidence rating (0.4) is below the required operational threshold (0.5).,"{'supply_score': 0.17, 'current_demand_score': 50.0, 'current_gap': 49.83, 'priority_score': 49.9, 'future_demand_score': None, 'future_gap': None, 'growth_trend': None}",0.4,"{'has_supply': True, 'has_current_demand': False, 'has_future_demand': False}"
beed,,welder under dual system training,Insufficient Data,Data Ingestion Required,Collect further supply and demand data for welder under dual system training in beed before allocating government training resources.,Confidence rating (0.4) is below the required operational threshold (0.5).,"{'supply_score': 0.17, 'current_demand_score': 50.0, 'current_gap': 49.83, 'priority_score': 49.9, 'future_demand_score': None, 'future_gap': None, 'growth_trend': None}",0.4,"{'has_supply': True, 'has_current_demand': False, 'has_future_demand': False}"
beed,,wireman under dual training system,Insufficient Data,Data Ingestion Required,Collect further supply and demand data for wireman under dual training system in beed before allocating government training resources.,Confidence rating (0.4) is below the required operational threshold (0.5).,"{'supply_score': 0.17, 'current_demand_score': 50.0, 'current_gap': 49.83, 'priority_score': 49.9, 'future_demand_score': None, 'future_gap': None, 'growth_trend': None}",0.4,"{'has_supply': True, 'has_current_demand': False, 'has_future_demand': False}"
bhandara,,fashion design and technology,Insufficient Data,Data Ingestion Required,Collect further supply and demand data for fashion design and technology in bhandara before allocating government training resources.,Confidence rating (0.4) is below the required operational threshold (0.5).,"{'supply_score': 0.17, 'current_demand_score': 50.0, 'current_gap': 49.83, 'priority_score': 49.9, 'future_demand_score': None, 'future_gap': None, 'growth_trend': None}",0.4,"{'has_supply': True, 'has_current_demand': False, 'has_future_demand': False}"
bhandara,,fitter under dual training system,Insufficient Data,Data Ingestion Required,Collect further supply and demand data for fitter under dual training system in bhandara before allocating government training resources.,Confidence rating (0.4) is below the required operational threshold (0.5).,"{'supply_score': 0.17, 'current_demand_score': 50.0, 'current_gap': 49.83, 'priority_score': 49.9, 'future_demand_score': None, 'future_gap': None, 'growth_trend': None}",0.4,"{'has_supply': True, 'has_current_demand': False, 'has_future_demand': False}"
bhandara,,painter general,Insufficient Data,Data Ingestion Required,Collect further supply and demand data for painter general in bhandara before allocating government training resources.,Confidence rating (0.4) is below the required operational threshold (0.5).,"{'supply_score': 0.17, 'current_demand_score': 50.0, 'current_gap': 49.83, 'priority_score': 49.9, 'future_demand_score': None, 'future_gap': None, 'growth_trend': None}",0.4,"{'has_supply': True, 'has_current_demand': False, 'has_future_demand': False}"
bhandara,,plastic processing operator,Insufficient Data,Data Ingestion Required,Collect further supply and demand data for plastic processing operator in bhandara before allocating government training resources.,Confidence rating (0.4) is below the required operational threshold (0.5).,"{'supply_score': 0.17, 'current_demand_score': 50.0, 'current_gap': 49.83, 'priority_score': 49.9, 'future_demand_score': None, 'future_gap': None, 'growth_trend': None}",0.4,"{'has_supply': True, 'has_current_demand': False, 'has_future_demand': False}"
bhandara,,pump operator cum mechanic,Insufficient Data,Data Ingestion Required,Collect further supply and demand data for pump operator cum mechanic in bhandara before allocating government training resources.,Confidence rating (0.4) is below the required operational threshold (0.5).,"{'supply_score': 0.17, 'current_demand_score': 50.0, 'current_gap': 49.83, 'priority_score': 49.9, 'future_demand_score': None, 'future_gap': None, 'growth_trend': None}",0.4,"{'has_supply': True, 'has_current_demand': False, 'has_future_demand': False}"
bhandara,,solar technician (electrical),Insufficient Data,Data Ingestion Required,Collect further supply and demand data for solar technician (electrical) in bhandara before allocating government training resources.,Confidence rating (0.4) is below the required operational threshold (0.5).,"{'supply_score': 0.17, 'current_demand_score': 50.0, 'current_gap': 49.83, 'priority_score': 49.9, 'future_demand_score': None, 'future_gap': None, 'growth_trend': None}",0.4,"{'has_supply': True, 'has_current_demand': False, 'has_future_demand': False}"
bhandara,,welder under dual system training,Insufficient Data,Data Ingestion Required,Collect further supply and demand data for welder under dual system training in bhandara before allocating government training resources.,Confidence rating (0.4) is below the required operational threshold (0.5).,"{'supply_score': 0.17, 'current_demand_score': 50.0, 'current_gap': 49.83, 'priority_score': 49.9, 'future_demand_score': None, 'future_gap': None, 'growth_trend': None}",0.4,"{'has_supply': True, 'has_current_demand': False, 'has_future_demand': False}"
buldhana,,draughtsman mechanical,Insufficient Data,Data Ingestion Required,Collect further supply and demand data for draughtsman mechanical in buldhana before allocating government training resources.,Confidence rating (0.4) is below the required operational threshold (0.5).,"{'supply_score': 0.17, 'current_demand_score': 50.0, 'current_gap': 49.83, 'priority_score': 49.9, 'future_demand_score': None, 'future_gap': None, 'growth_trend': None}",0.4,"{'has_supply': True, 'has_current_demand': False, 'has_future_demand': False}"
buldhana,,fashion design and technology,Insufficient Data,Data Ingestion Required,Collect further supply and demand data for fashion design and technology in buldhana before allocating government training resources.,Confidence rating (0.4) is below the required operational threshold (0.5).,"{'supply_score': 0.17, 'current_demand_score': 50.0, 'current_gap': 49.83, 'priority_score': 49.9, 'future_demand_score': None, 'future_gap': None, 'growth_trend': None}",0.4,"{'has_supply': True, 'has_current_demand': False, 'has_future_demand': False}"
buldhana,,welder (gmaw and gtaw),Insufficient Data,Data Ingestion Required,Collect further supply and demand data for welder (gmaw and gtaw) in buldhana before allocating government training resources.,Confidence rating (0.4) is below the required operational threshold (0.5).,"{'supply_score': 0.17, 'current_demand_score': 50.0, 'current_gap': 49.83, 'priority_score': 49.9, 'future_demand_score': None, 'future_gap': None, 'growth_trend': None}",0.4,"{'has_supply': True, 'has_current_demand': False, 'has_future_demand': False}"
buldhana,,welder under dual system training,Insufficient Data,Data Ingestion Required,Collect further supply and demand data for welder under dual system training in buldhana before allocating government training resources.,Confidence rating (0.4) is below the required operational threshold (0.5).,"{'supply_score': 0.17, 'current_demand_score': 50.0, 'current_gap': 49.83, 'priority_score': 49.9, 'future_demand_score': None, 'future_gap': None, 'growth_trend': None}",0.4,"{'has_supply': True, 'has_current_demand': False, 'has_future_demand': False}"
chandrapur,,mechanic auto electrical and electronics under dual training system,Insufficient Data,Data Ingestion Required,Collect further supply and demand data for mechanic auto electrical and electronics under dual training system in chandrapur before allocating government training resources.,Confidence rating (0.4) is below the required operational threshold (0.5).,"{'supply_score': 0.17, 'current_demand_score': 50.0, 'current_gap': 49.83, 'priority_score': 49.9, 'future_demand_score': None, 'future_gap': None, 'growth_trend': None}",0.4,"{'has_supply': True, 'has_current_demand': False, 'has_future_demand': False}"
chandrapur,,sheet metal worker,Insufficient Data,Data Ingestion Required,Collect further supply and demand data for sheet metal worker in chandrapur before allocating government training resources.,Confidence rating (0.4) is below the required operational threshold (0.5).,"{'supply_score': 0.17, 'current_demand_score': 50.0, 'current_gap': 49.83, 'priority_score': 49.9, 'future_demand_score': None, 'future_gap': None, 'growth_trend': None}",0.4,"{'has_supply': True, 'has_current_demand': False, 'has_future_demand': False}"
chhatrapati sambhajinagar,,draughtsman mechanical,Insufficient Data,Data Ingestion Required,Collect further supply and demand data for draughtsman mechanical in chhatrapati sambhajinagar before allocating government training resources.,Confidence rating (0.4) is below the required operational threshold (0.5).,"{'supply_score': 0.17, 'current_demand_score': 50.0, 'current_gap': 49.83, 'priority_score': 49.9, 'future_demand_score': None, 'future_gap': None, 'growth_trend': None}",0.4,"{'has_supply': True, 'has_current_demand': False, 'has_future_demand': False}"
chhatrapati sambhajinagar,,draughtsman mechanical under dual system training,Insufficient Data,Data Ingestion Required,Collect further supply and demand data for draughtsman mechanical under dual system training in chhatrapati sambhajinagar before allocating government training resources.,Confidence rating (0.4) is below the required operational threshold (0.5).,"{'supply_score': 0.17, 'current_demand_score': 50.0, 'current_gap': 49.83, 'priority_score': 49.9, 'future_demand_score': None, 'future_gap': None, 'growth_trend': None}",0.4,"{'has_supply': True, 'has_current_demand': False, 'has_future_demand': False}"
chhatrapati sambhajinagar,,electrician under dual system training,Insufficient Data,Data Ingestion Required,Collect further supply and demand data for electrician under dual system training in chhatrapati sambhajinagar before allocating government training resources.,Confidence rating (0.4) is below the required operational threshold (0.5).,"{'supply_score': 0.17, 'current_demand_score': 50.0, 'current_gap': 49.83, 'priority_score': 49.9, 'future_demand_score': None, 'future_gap': None, 'growth_trend': None}",0.4,"{'has_supply': True, 'has_current_demand': False, 'has_future_demand': False}"
chhatrapati sambhajinagar,,mechanic tractor,Insufficient Data,Data Ingestion Required,Collect further supply and demand data for mechanic tractor in chhatrapati sambhajinagar before allocating government training resources.,Confidence rating (0.4) is below the required operational threshold (0.5).,"{'supply_score': 0.17, 'current_demand_score': 50.0, 'current_gap': 49.83, 'priority_score': 49.9, 'future_demand_score': None, 'future_gap': None, 'growth_trend': None}",0.4,"{'has_supply': True, 'has_current_demand': False, 'has_future_demand': False}"
chhatrapati sambhajinagar,,painter general,Insufficient Data,Data Ingestion Required,Collect further supply and demand data for painter general in chhatrapati sambhajinagar before allocating government training resources.,Confidence rating (0.4) is below the required operational threshold (0.5).,"{'supply_score': 0.17, 'current_demand_score': 50.0, 'current_gap': 49.83, 'priority_score': 49.9, 'future_demand_score': None, 'future_gap': None, 'growth_trend': None}",0.4,"{'has_supply': True, 'has_current_demand': False, 'has_future_demand': False}"
chhatrapati sambhajinagar,,sewing technology,Insufficient Data,Data Ingestion Required,Collect further supply and demand data for sewing technology in chhatrapati sambhajinagar before allocating government training resources.,Confidence rating (0.4) is below the required operational threshold (0.5).,"{'supply_score': 0.17, 'current_demand_score': 50.0, 'current_gap': 49.83, 'priority_score': 49.9, 'future_demand_score': None, 'future_gap': None, 'growth_trend': None}",0.4,"{'has_supply': True, 'has_current_demand': False, 'has_future_demand': False}"
chhatrapati sambhajinagar,,turner under dual training system,Insufficient Data,Data Ingestion Required,Collect further supply and demand data for turner under dual training system in chhatrapati sambhajinagar before allocating government training resources.,Confidence rating (0.4) is below the required operational threshold (0.5).,"{'supply_score': 0.17, 'current_demand_score': 50.0, 'current_gap': 49.83, 'priority_score': 49.9, 'future_demand_score': None, 'future_gap': None, 'growth_trend': None}",0.4,"{'has_supply': True, 'has_current_demand': False, 'has_future_demand': False}"
chhatrapati sambhajinagar,,welder (gmaw and gtaw),Insufficient Data,Data Ingestion Required,Collect further supply and demand data for welder (gmaw and gtaw) in chhatrapati sambhajinagar before allocating government training resources.,Confidence rating (0.4) is below the required operational threshold (0.5).,"{'supply_score': 0.17, 'current_demand_score': 50.0, 'current_gap': 49.83, 'priority_score': 49.9, 'future_demand_score': None, 'future_gap': None, 'growth_trend': None}",0.4,"{'has_supply': True, 'has_current_demand': False, 'has_future_demand': False}"
chhatrapati sambhajinagar,,welder (gmaw and gtaw) under dual system training,Insufficient Data,Data Ingestion Required,Collect further supply and demand data for welder (gmaw and gtaw) under dual system training in chhatrapati sambhajinagar before allocating government training resources.,Confidence rating (0.4) is below the required operational threshold (0.5).,"{'supply_score': 0.17, 'current_demand_score': 50.0, 'current_gap': 49.83, 'priority_score': 49.9, 'future_demand_score': None, 'future_gap': None, 'growth_trend': None}",0.4,"{'has_supply': True, 'has_current_demand': False, 'has_future_demand': False}"
chhatrapati sambhajinagar,,wireman under dual training system,Insufficient Data,Data Ingestion Required,Collect further supply and demand data for wireman under dual training system in chhatrapati sambhajinagar before allocating government training resources.,Confidence rating (0.4) is below the required operational threshold (0.5).,"{'supply_score': 0.17, 'current_demand_score': 50.0, 'current_gap': 49.83, 'priority_score': 49.9, 'future_demand_score': None, 'future_gap': None, 'growth_trend': None}",0.4,"{'has_supply': True, 'has_current_demand': False, 'has_future_demand': False}"
dharashiv,,fashion design and technology,Insufficient Data,Data Ingestion Required,Collect further supply and demand data for fashion design and technology in dharashiv before allocating government training resources.,Confidence rating (0.4) is below the required operational threshold (0.5).,"{'supply_score': 0.17, 'current_demand_score': 50.0, 'current_gap': 49.83, 'priority_score': 49.9, 'future_demand_score': None, 'future_gap': None, 'growth_trend': None}",0.4,"{'has_supply': True, 'has_current_demand': False, 'has_future_demand': False}"
dharashiv,,machinist,Insufficient Data,Data Ingestion Required,Collect further supply and demand data for machinist in dharashiv before allocating government training resources.,Confidence rating (0.4) is below the required operational threshold (0.5).,"{'supply_score': 0.17, 'current_demand_score': 50.0, 'current_gap': 49.83, 'priority_score': 49.9, 'future_demand_score': None, 'future_gap': None, 'growth_trend': None}",0.4,"{'has_supply': True, 'has_current_demand': False, 'has_future_demand': False}"
dharashiv,,pump operator cum mechanic,Insufficient Data,Data Ingestion Required,Collect further supply and demand data for pump operator cum mechanic in dharashiv before allocating government training resources.,Confidence rating (0.4) is below the required operational threshold (0.5).,"{'supply_score': 0.17, 'current_demand_score': 50.0, 'current_gap': 49.83, 'priority_score': 49.9, 'future_demand_score': None, 'future_gap': None, 'growth_trend': None}",0.4,"{'has_supply': True, 'has_current_demand': False, 'has_future_demand': False}"
dharashiv,,sheet metal worker under dual system training,Insufficient Data,Data Ingestion Required,Collect further supply and demand data for sheet metal worker under dual system training in dharashiv before allocating government training resources.,Confidence rating (0.4) is below the required operational threshold (0.5).,"{'supply_score': 0.17, 'current_demand_score': 50.0, 'current_gap': 49.83, 'priority_score': 49.9, 'future_demand_score': None, 'future_gap': None, 'growth_trend': None}",0.4,"{'has_supply': True, 'has_current_demand': False, 'has_future_demand': False}"
dharashiv,,turner,Insufficient Data,Data Ingestion Required,Collect further supply and demand data for turner in dharashiv before allocating government training resources.,Confidence rating (0.4) is below the required operational threshold (0.5).,"{'supply_score': 0.17, 'current_demand_score': 50.0, 'current_gap': 49.83, 'priority_score': 49.9, 'future_demand_score': None, 'future_gap': None, 'growth_trend': None}",0.4,"{'has_supply': True, 'has_current_demand': False, 'has_future_demand': False}"
dharashiv,,welder under dual system training,Insufficient Data,Data Ingestion Required,Collect further supply and demand data for welder under dual system training in dharashiv before allocating government training resources.,Confidence rating (0.4) is below the required operational threshold (0.5).,"{'supply_score': 0.17, 'current_demand_score': 50.0, 'current_gap': 49.83, 'priority_score': 49.9, 'future_demand_score': None, 'future_gap': None, 'growth_trend': None}",0.4,"{'has_supply': True, 'has_current_demand': False, 'has_future_demand': False}"
dharashiv,,wireman under dual training system,Insufficient Data,Data Ingestion Required,Collect further supply and demand data for wireman under dual training system in dharashiv before allocating government training resources.,Confidence rating (0.4) is below the required operational threshold (0.5).,"{'supply_score': 0.17, 'current_demand_score': 50.0, 'current_gap': 49.83, 'priority_score': 49.9, 'future_demand_score': None, 'future_gap': None, 'growth_trend': None}",0.4,"{'has_supply': True, 'has_current_demand': False, 'has_future_demand': False}"
dhule,,draughtsman mechanical,Insufficient Data,Data Ingestion Required,Collect further supply and demand data for draughtsman mechanical in dhule before allocating government training resources.,Confidence rating (0.4) is below the required operational threshold (0.5).,"{'supply_score': 0.17, 'current_demand_score': 50.0, 'current_gap': 49.83, 'priority_score': 49.9, 'future_demand_score': None, 'future_gap': None, 'growth_trend': None}",0.4,"{'has_supply': True, 'has_current_demand': False, 'has_future_demand': False}"
gadchiroli,,machinist,Insufficient Data,Data Ingestion Required,Collect further supply and demand data for machinist in gadchiroli before allocating government training resources.,Confidence rating (0.4) is below the required operational threshold (0.5).,"{'supply_score': 0.17, 'current_demand_score': 50.0, 'current_gap': 49.83, 'priority_score': 49.9, 'future_demand_score': None, 'future_gap': None, 'growth_trend': None}",0.4,"{'has_supply': True, 'has_current_demand': False, 'has_future_demand': False}"
gadchiroli,,machinist grinder,Insufficient Data,Data Ingestion Required,Collect further supply and demand data for machinist grinder in gadchiroli before allocating government training resources.,Confidence rating (0.4) is below the required operational threshold (0.5).,"{'supply_score': 0.17, 'current_demand_score': 50.0, 'current_gap': 49.83, 'priority_score': 49.9, 'future_demand_score': None, 'future_gap': None, 'growth_trend': None}",0.4,"{'has_supply': True, 'has_current_demand': False, 'has_future_demand': False}"
gadchiroli,,mechanic auto electrical and electronics,Insufficient Data,Data Ingestion Required,Collect further supply and demand data for mechanic auto electrical and electronics in gadchiroli before allocating government training resources.,Confidence rating (0.4) is below the required operational threshold (0.5).,"{'supply_score': 0.17, 'current_demand_score': 50.0, 'current_gap': 49.83, 'priority_score': 49.9, 'future_demand_score': None, 'future_gap': None, 'growth_trend': None}",0.4,"{'has_supply': True, 'has_current_demand': False, 'has_future_demand': False}"
gadchiroli,,painter general,Insufficient Data,Data Ingestion Required,Collect further supply and demand data for painter general in gadchiroli before allocating government training resources.,Confidence rating (0.4) is below the required operational threshold (0.5).,"{'supply_score': 0.17, 'current_demand_score': 50.0, 'current_gap': 49.83, 'priority_score': 49.9, 'future_demand_score': None, 'future_gap': None, 'growth_trend': None}",0.4,"{'has_supply': True, 'has_current_demand': False, 'has_future_demand': False}"
gadchiroli,,sheet metal worker,Insufficient Data,Data Ingestion Required,Collect further supply and demand data for sheet metal worker in gadchiroli before allocating government training resources.,Confidence rating (0.4) is below the required operational threshold (0.5).,"{'supply_score': 0.17, 'current_demand_score': 50.0, 'current_gap': 49.83, 'priority_score': 49.9, 'future_demand_score': None, 'future_gap': None, 'growth_trend': None}",0.4,"{'has_supply': True, 'has_current_demand': False, 'has_future_demand': False}"
